id	filename	protocol	dataType	analysisType	antibody	donor	group	mnemonic	stdName	edaccName	anatomy	type	age	sex	solidLiquid	ethnicity	singledonorComposite
E002-H3K9ac	E002-H3K9ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9ac	E002	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E002-H3K9me3	E002-H3K9me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9me3	E002	ESC	ESC.WA7	ES-WA7 Cells	ES-WA7_Cell_Line	ESC	PrimaryCulture	CL	Female	NA	NA	SD
E003-DNase.hotspot.all	E003-DNase.hotspot.all.peaks.bed	DnaseI-seq	dnase	hotspot.all	NA	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-DNase.hotspot.fdr0.01	E003-DNase.hotspot.fdr0.01.peaks.bed	DnaseI-seq	dnase	hotspot.fdr0.01	NA	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-DNase.macs2	E003-DNase.macs2.narrowPeak	DnaseI-seq	dnase	narrowPeak	NA	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H2AK5ac	E003-H2AK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2AK5ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H2A.Z	E003-H2A.Z.narrowPeak	ChIP-seq	histone	narrowPeak	H2A.Z	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H2BK120ac	E003-H2BK120ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK120ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H2BK12ac	E003-H2BK12ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK12ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H2BK15ac	E003-H2BK15ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK15ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H2BK20ac	E003-H2BK20ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK20ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H2BK5ac	E003-H2BK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK5ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K14ac	E003-H3K14ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K14ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K18ac	E003-H3K18ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K18ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K23ac	E003-H3K23ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K23ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K23me2	E003-H3K23me2.narrowPeak	ChIP-seq	histone	narrowPeak	H3K23me2	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K27ac	E003-H3K27ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K27me3	E003-H3K27me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27me3	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K36me3	E003-H3K36me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K36me3	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K4ac	E003-H3K4ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K4me1	E003-H3K4me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me1	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K4me2	E003-H3K4me2.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me2	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K4me3	E003-H3K4me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me3	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K56ac	E003-H3K56ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K56ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K79me1	E003-H3K79me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K79me1	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K79me2	E003-H3K79me2.narrowPeak	ChIP-seq	histone	narrowPeak	H3K79me2	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K9ac	E003-H3K9ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H3K9me3	E003-H3K9me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9me3	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H4K20me1	E003-H4K20me1.narrowPeak	ChIP-seq	histone	narrowPeak	H4K20me1	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H4K5ac	E003-H4K5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H4K5ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H4K8ac	E003-H4K8ac.narrowPeak	ChIP-seq	histone	narrowPeak	H4K8ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E003-H4K91ac	E003-H4K91ac.narrowPeak	ChIP-seq	histone	narrowPeak	H4K91ac	E003	ESC	ESC.H1	H1 Cells	H1_Cell_Line	ESC	PrimaryCulture	CL	Male	NA	NA	SD
E004-DNase.hotspot.all	E004-DNase.hotspot.all.peaks.bed	DnaseI-seq	dnase	hotspot.all	NA	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-DNase.hotspot.fdr0.01	E004-DNase.hotspot.fdr0.01.peaks.bed	DnaseI-seq	dnase	hotspot.fdr0.01	NA	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-DNase.macs2	E004-DNase.macs2.narrowPeak	DnaseI-seq	dnase	narrowPeak	NA	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H2AK5ac	E004-H2AK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2AK5ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H2BK120ac	E004-H2BK120ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK120ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H2BK15ac	E004-H2BK15ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK15ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H2BK5ac	E004-H2BK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK5ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K18ac	E004-H3K18ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K18ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K23ac	E004-H3K23ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K23ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K27ac	E004-H3K27ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K27me3	E004-H3K27me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27me3	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K36me3	E004-H3K36me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K36me3	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K4ac	E004-H3K4ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K4me1	E004-H3K4me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me1	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K4me2	E004-H3K4me2.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me2	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K4me3	E004-H3K4me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me3	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K79me1	E004-H3K79me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K79me1	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K79me2	E004-H3K79me2.narrowPeak	ChIP-seq	histone	narrowPeak	H3K79me2	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K9ac	E004-H3K9ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H3K9me3	E004-H3K9me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9me3	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E004-H4K8ac	E004-H4K8ac.narrowPeak	ChIP-seq	histone	narrowPeak	H4K8ac	E004	ES-deriv	ESDR.H1.BMP4.MESO	H1 BMP4 Derived Mesendoderm Cultured Cells	H1_BMP4_Derived_Mesendoderm_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-DNase.hotspot.all	E005-DNase.hotspot.all.peaks.bed	DnaseI-seq	dnase	hotspot.all	NA	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-DNase.hotspot.fdr0.01	E005-DNase.hotspot.fdr0.01.peaks.bed	DnaseI-seq	dnase	hotspot.fdr0.01	NA	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-DNase.macs2	E005-DNase.macs2.narrowPeak	DnaseI-seq	dnase	narrowPeak	NA	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H2AK5ac	E005-H2AK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2AK5ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H2A.Z	E005-H2A.Z.narrowPeak	ChIP-seq	histone	narrowPeak	H2A.Z	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H2BK120ac	E005-H2BK120ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK120ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H2BK12ac	E005-H2BK12ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK12ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H2BK5ac	E005-H2BK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK5ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K14ac	E005-H3K14ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K14ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K18ac	E005-H3K18ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K18ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K23ac	E005-H3K23ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K23ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K27ac	E005-H3K27ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K27me3	E005-H3K27me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K27me3	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K36me3	E005-H3K36me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K36me3	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K4ac	E005-H3K4ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K4me1	E005-H3K4me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me1	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K4me2	E005-H3K4me2.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me2	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K4me3	E005-H3K4me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K4me3	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K79me1	E005-H3K79me1.narrowPeak	ChIP-seq	histone	narrowPeak	H3K79me1	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K79me2	E005-H3K79me2.narrowPeak	ChIP-seq	histone	narrowPeak	H3K79me2	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K9ac	E005-H3K9ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H3K9me3	E005-H3K9me3.narrowPeak	ChIP-seq	histone	narrowPeak	H3K9me3	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H4K12ac	E005-H4K12ac.narrowPeak	ChIP-seq	histone	narrowPeak	H4K12ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H4K8ac	E005-H4K8ac.narrowPeak	ChIP-seq	histone	narrowPeak	H4K8ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E005-H4K91ac	E005-H4K91ac.narrowPeak	ChIP-seq	histone	narrowPeak	H4K91ac	E005	ES-deriv	ESDR.H1.BMP4.TROP	H1 BMP4 Derived Trophoblast Cultured Cells	H1_BMP4_Derived_Trophoblast_Cultured_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-DNase.hotspot.all	E006-DNase.hotspot.all.peaks.bed	DnaseI-seq	dnase	hotspot.all	NA	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-DNase.hotspot.fdr0.01	E006-DNase.hotspot.fdr0.01.peaks.bed	DnaseI-seq	dnase	hotspot.fdr0.01	NA	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-DNase.macs2	E006-DNase.macs2.narrowPeak	DnaseI-seq	dnase	narrowPeak	NA	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-H2AK5ac	E006-H2AK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2AK5ac	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-H2A.Z	E006-H2A.Z.narrowPeak	ChIP-seq	histone	narrowPeak	H2A.Z	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-H2BK120ac	E006-H2BK120ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK120ac	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-H2BK12ac	E006-H2BK12ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK12ac	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-H2BK5ac	E006-H2BK5ac.narrowPeak	ChIP-seq	histone	narrowPeak	H2BK5ac	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
E006-H3K14ac	E006-H3K14ac.narrowPeak	ChIP-seq	histone	narrowPeak	H3K14ac	E006	ES-deriv	ESDR.H1.MSC	H1 Derived Mesenchymal Stem Cells	H1_Derived_Mesenchymal_Stem_Cells	ESC_DERIVED	ESCDerived	CL	Male	NA	NA	SD
